Player,Pos,Team,Games,Goals,Assists,Points
Mike Matheson,LD,CBJ,81,5,27,32
Alexander Holtz,C,BOS,80,15,29,44
Oliver Wahlstrom,C/LW,TOR,80,13,32,45
Nicholas Paul,LD,OTT,72,3,31,34
Ross Colton,LW/RW,MIN,70,16,26,42
Jamie Drysdale,RW,SEA,77,21,22,43
Barrett Hayton,LD,STL,76,4,28,32
Adam Boqvist,RW,PIT,75,15,28,43
Blake Coleman,LD,MIN,79,3,28,31
Eeli Tolvanen,LD,PIT,68,5,26,31
Alexander Barabanov,C/RW,PIT,76,18,23,41
Colton Parayko,C,VGK,77,16,26,42
Pierre Engvall,C,MON,73,15,30,45
Neal Pionk,LD,WPG,76,6,24,30
Dillon Dube,RD,CAR,75,7,22,29
Jordan Staal,LW,MON,66,16,28,44
Nick Ritchie,LD,CGY,74,9,18,27
Alex Iafallo,LW,CGY,80,19,19,38
Frederick Gaudreau,LD,VAN,66,7,22,29
Kirby Dach,LD,NYR,81,7,20,27
Evgenii Dadonov,C,CAR,76,19,22,41
Danton Heinen,LW/RW,TOR,74,18,20,38
Connor McMichael,LW,ARI,73,21,19,40
Joel Farabee,RD,TOR,66,4,23,27
Andreas Athanasiou,RD,LAK,77,5,25,30
Erik Haula,LW,WAS,61,17,24,41
Kyle Palmieri,LD,VAN,76,6,23,29
Filip Chytil,LW/RW,TBL,79,21,18,39
Kaapo Kakko,LD,STL,64,3,28,31
Mathieu Joseph,LD,DET,74,7,21,28
Morgan Frost,LD,DAL,82,6,23,29
Calle Jarnkrok,LW,DAL,67,17,24,41
Dmitry Orlov,RW,BOS,78,19,21,40
Brady Skjei,C/LW,ANA,76,21,18,39
Nathan Smith,C,BUF,68,14,29,43
Owen Power,C,CBJ,69,22,23,45
Colin Blackwell,RW,CGY,74,19,19,38
Pius Suter,RD,NSH,69,4,25,29
Arthur Kaliyev,LD,TOR,67,8,19,27
Jonas Brodin,C,TBL,80,19,20,39
Matt Dumba,LD,ARI,64,8,19,27
Tomas Tatar,LW,SEA,68,17,24,41
Mattias Ekholm,LD,SEA,70,9,17,26
Ryan Pulock,LW,NSH,71,20,18,38
Barclay Goodrow,RW,NJD,78,18,21,39
Jacob Trouba,RD,MON,75,6,22,28
Teddy Blueger,LD,PHI,70,7,21,28
Thomas Bordeleau,RD,ANA,80,4,26,30
Tanner Pearson,LD,TOR,80,3,25,28
Vasily Podkolzin,RW,NYR,66,17,19,36
Kent Johnson,LW,MIN,74,12,27,39
Philipp Kurashev,LD,DAL,80,4,25,29
J.T. Compher,RW,SJS,78,16,24,40
Denis Gurianov,C/LW,CAR,72,12,28,40
Rudolfs Balcers,C,CAR,79,18,19,37
Brendan Gallagher,LD,NYI,72,4,23,27
Josh Anderson,RD,EDM,75,5,23,28
Erik Brannstrom,LW,LAK,81,16,21,37
Alex Wennberg,LD,BOS,65,5,22,27
Ryan Donato,LW,ARI,69,22,15,37
Justin Schultz,C/LW,WPG,72,13,27,40
William Eklund,RD,VGK,68,8,16,24
Kyle Okposo,RD,NJD,76,6,21,27
Jack Quinn,RD,CBJ,70,9,16,25
Jesper Fast,LW,MON,79,20,17,37
Taylor Raddysh,LW,CHI,59,22,14,36
Bowen Byram,C/LW,WAS,76,18,19,37
Brandon Montour,LD,VGK,64,7,19,26
Jesper Boqvist,RD,OTT,77,7,19,26
Alexandre Carrier,LD,BOS,60,4,24,28
Alex Formenton,LW,OTT,76,18,15,33
Travis Sanheim,C/LW,BUF,76,14,26,40
Lars Eller,C,ARI,68,18,20,38
Max Comtois,LW,VAN,75,17,18,35
Vladislav Gavrikov,RW,NYI,78,19,17,36
Ryan Graves,RW,NYI,72,13,26,39
Scott Laughton,RW,OTT,70,13,23,36
Owen Tippett,C,MIN,74,13,24,37
Nick Leddy,C,COL,74,17,17,34
Corey Perry,LW,PIT,75,16,21,37
Denis Malgin,LW,TOR,72,13,23,36
Mark Giordano,C,NJD,72,19,17,36
Warren Foegele,LW/RW,LAK,80,18,17,35
Alex Goligoski,RD,TBL,69,5,20,25
Kieffer Bellows,C,PHI,79,14,22,36
Jason Zucker,LW/RW,VAN,78,17,18,35
Ty Smith,C,DET,81,15,20,35
Shane Wright,LW/RW,SJS,72,12,26,38
