PLAYER,POS,TEAM,GP,G,A,Points
Ryan McDonagh,D,NSH,75,5,16,21
Dante Fabbro,D,NSH,75,4,17,21
Austin Watson,W,OTT,71,10,11,21
Artem Zub,D,OTT,66,5,16,21
Noel Acciari,C,STL,66,11,10,21
Pierre-Edouard Bellemare,C,TB,81,10,11,21
Patrick Maroon,W,TB,80,9,12,21
Nicolas Aube-Kubel,W,TOR,73,8,13,21
Nick Jensen,D,WAS,80,3,18,21
Sam Gagner,W,WPG,74,7,14,21
Christian Fischer,W,ARI,73,10,10,20
Rasmus Asplund,C,BUF,70,8,12,20
Ben Chiarot,D,DET,77,5,15,20
Mattias Janmark,C,EDM,77,8,12,20
Blake Lizotte,C,LAK,76,6,14,20
Matt Roy,D,LAK,77,4,16,20
Marco Rossi,C,MIN,70,7,13,20
Yakov Trenin,W,NSH,78,11,9,20
Miles Wood,W,NJD,66,10,10,20
Brian Dumoulin,D,PIT,70,3,17,20
Nico Sturm,C,SJ,70,10,10,20
Jason Dickinson,C,VAN,76,8,12,20
Brett Howden,C,VGK,77,8,12,20
Connor McMichael,C,WAS,70,10,10,20
Morgan Barron,C,WPG,70,10,10,20
Jack Quinn,W,BUF,54,6,13,19
Riley Sheahan,W,BUF,70,8,11,19
Milan Lucic,W,CGY,82,7,12,19
Jordan Martinook,C,CAR,70,8,11,19
Mackenzie Entwistle,W,CHI,65,7,12,19
Connor Murphy,D,CHI,74,4,15,19
Erik Johnson,D,COL,69,5,14,19
Michael Rasmussen,C,DET,65,9,10,19
Sean Walker,D,LAK,65,5,14,19
Tyson Jost,C,MIN,81,8,11,19
Brandon Duhaime,W,MIN,70,7,12,19
Nathan Bastian,W,NJD,70,9,10,19
Scott Mayfield,D,NYI,77,4,15,19
Mario Ferraro,D,SJ,76,2,17,19
Adam Larsson,D,SEA,78,4,15,19
Erik Cernak,D,TB,74,5,14,19
Tyler Myers,D,VAN,81,5,14,19
Keegan Kolesar,W,VGK,75,4,15,19
Nick Bjugstad,C,ARI,63,8,10,18
Michael Carcone,W,ARI,60,12,6,18
Troy Stecher,D,ARI,69,3,15,18
Nick Foligno,W,BOS,76,8,10,18
Anders Bjork,W,BUF,73,8,10,18
Brett Kulak,D,EDM,75,4,14,18
Colin White,W,FLA,67,6,12,18
Marc Staal,D,FLA,70,4,14,18
Brendan Lemieux,W,LAK,72,9,9,18
Casey Cizikas,C,NYI,76,8,10,18
Sebastian Aho D,D,NYI,45,4,14,18
Cam York,D,PHI,65,5,13,18
Matt Nieto,W,SJ,74,8,10,18
Klim Kostin,W,STL,50,8,10,18
Curtis Lazar,C,VAN,72,8,10,18
Vasily Podkolzin,W,VAN,57,9,9,18
Nicolas Hague,D,VGK,69,4,14,18
Carl Hagelin,W,WAS,50,7,11,18
Sam Carrick,W,ANA,58,9,8,17
Dysin Mayo,D,ARI,70,5,12,17
Brandon Carlo,D,BOS,75,5,12,17
Zemgus Girgensons,C,BUF,66,7,10,17
Nikita Zadorov,D,CGY,79,4,13,17
Ondrej Kase,W,CAR,50,8,9,17
Taylor Raddysh,W,CHI,60,7,10,17
Philipp Kurashev,W,CHI,65,7,10,17
Jake McCabe,D,CHI,57,3,14,17
Darren Helm,C,COL,77,8,9,17
Joel Kiviranta,W,DAL,65,6,11,17
Filip Zadina,C,DET,71,6,11,17
Devin Shore,W,EDM,67,7,10,17
Sam Steel,C,MIN,75,7,10,17
Paul Byron,W,MTL,61,8,9,17
Michael Mcleod,C,NJD,69,7,10,17
Brendan Smith,D,NJD,72,4,13,17
Zac Jones,D,NYR,75,6,11,17
Jayce Hawryluk,W,OTT,65,7,10,17
Scott Sabourin,W,OTT,65,4,13,17
Travis Hamonic,D,OTT,67,4,13,17
Erik Brannstrom,D,OTT,63,1,16,17
Jan Rutta,D,PIT,69,3,14,17
Noah Gregor,W,SJ,65,8,9,17
William Eklund,C,SJ,56,6,11,17
Marc-Edouard Vlasic,D,SJ,80,4,13,17
Morgan Geekie,C,SEA,63,6,11,17
Jamie Oleksiak,D,SEA,80,5,12,17
Nils Hoglander,W,VAN,64,9,8,17
Brayden McNabb,D,VGK,77,3,14,17
Zach Whitecloud,D,VGK,66,4,13,17
Martin Fehervary,D,WAS,75,7,10,17
J.J. Moser,D,ARI,50,4,12,16
Kevin Rooney,W,CGY,73,7,9,16
Derek Stepan,C,CAR,60,5,11,16
Jujhar Khaira,C,CHI,70,7,9,16
Caleb Jones,D,CHI,66,5,11,16
Colin Miller,D,DAL,55,3,13,16
Eetu Luostarinen,C,FLA,67,6,10,16
Ryan Lomberg,W,FLA,59,8,8,16
Radko Gudas,D,FLA,79,3,13,16
Jordan Spence,D,LAK,47,5,11,16
Ryan Reaves,W,NYR,76,7,9,16
Braden Schneider,D,NYR,56,3,13,16
Nikita Zaitsev,D,OTT,75,3,13,16
Nicolas Deslauriers,W,PHI,78,8,8,16
Patrick Brown,C,PHI,70,8,8,16
Nathan Walker,W,STL,49,10,6,16
Niko Mikkola,D,STL,76,3,13,16
Philippe Myers,D,TB,65,3,13,16
Wayne Simmonds,W,TOR,75,7,9,16
Nicholas Robertson,W,TOR,50,6,10,15
Ethan Bear,D,CAR,75,4,11,15
Ian Mitchell,D,CHI,60,6,9,15
Luke Glendening,C,DAL,80,7,8,15
Olli Maatta,D,DET,75,4,11,15
Gustav Lindstrom,D,DET,70,1,14,15
Carl Grundstrom,W,LAK,63,9,6,15
David Savard,D,MTL,77,3,12,15
Cal Clutterbuck,W,NYI,70,6,9,15
Dryden Hunt,W,NYR,76,4,11,15
