NAME,POS,GP,G,A,PTS
Vasily Podkolzin,LW/RW,81,17,18,35
Anthony Cirelli,C/LW,63,14,21,35
Kent Johnson,LW,78,13,22,35
Kasperi Kapanen,RW,78,14,21,35
Jesse Puljujarvi,RW,77,16,19,35
Denis Gurianov,LW/RW,80,15,19,35
Anthony Duclair,RW,53,17,18,35
Arthur Kaliyev,LW/RW,81,17,18,35
Jake DeBrusk,LW/RW,78,18,16,35
Kyle Okposo,RW,74,14,20,35
Chris Wideman,D,75,7,28,34
Sean Monahan,C,78,14,21,34
Jack McBain,C,72,16,19,34
Ilya Mikheyev,LW/RW,73,17,17,34
Frederick Gaudreau,C/RW,75,11,23,34
Philip Tomasino,RW,80,13,22,34
Tanner Pearson,LW,79,16,18,34
Kaapo Kakko,RW,73,15,19,34
Eeli Tolvanen,LW,77,16,18,34
Lars Eller,C,78,14,20,34
Nicolas Roy,C/RW,75,14,20,34
Shane Wright,C,72,13,21,34
Scott Laughton,C/LW,76,14,20,34
Nick Ritchie,LW,75,16,17,34
Calle Jarnkrok,C/RW,77,15,19,34
Mattias Ekholm,D,79,8,26,34
Jordan Greenway,LW,78,11,23,34
Jacob Trouba,D,78,8,25,33
Dmitry Orlov,D,80,9,24,33
Taylor Raddysh,LW/RW,79,16,17,33
Bowen Byram,D,72,8,25,33
Lukas Reichel,C/LW,70,13,20,33
Juraj Slafkovsky,LW,76,14,19,33
Charlie Coyle,C,81,13,20,33
Zach Parise,LW/RW,80,15,18,33
Casey Mittelstadt,C,67,13,19,32
Nathan Smith,C,74,13,19,32
Mark Giordano,D,80,8,24,32
Tom Wilson,RW,50,15,18,32
Gustav Forsling,D,77,9,23,32
Jamie Drysdale,D,77,7,26,32
Alex Formenton,LW,76,17,15,32
Nate Schmidt,D,79,7,25,32
Oliver Wahlstrom,RW,71,17,15,32
Jonas Brodin,D,80,7,25,32
Luke Kunin,LW/RW,78,16,16,32
Mathieu Joseph,LW/RW,76,16,17,32
Ivan Provorov,D,81,10,22,32
Matt Dumba,D,77,10,22,32
Oliver Ekman-Larsson,D,79,7,25,32
Erik Haula,C/LW,78,13,18,32
Josh Anderson,RW,74,19,13,32
Quinton Byfield,C,72,13,18,32
Robby Fabbri,LW/RW,71,16,15,31
Nils Hoglander,LW/RW,76,15,16,31
Nick Paul,C/LW,80,13,18,31
Jason Zucker,LW,70,15,16,31
Ryan Pulock,D,77,7,24,31
Pius Suter,C,82,14,16,31
Nicklas Backstrom,C,41,8,23,31
Andrei Kuzmenko,LW,75,12,18,30
Peyton Krebs,C/LW,67,11,20,30
Dillon Dube,LW/RW,78,15,15,30
Colton Parayko,D,76,7,23,30
Adam Boqvist,D,69,10,21,30
Andreas Johnsson,LW/RW,76,12,18,30
Evan Rodrigues,LW/RW,75,13,17,30
Patric Hornqvist,RW,75,13,17,30
Jakob Silfverberg,RW,74,13,17,30
Owen Tippett,RW,75,13,17,30
Brandon Montour,D,79,9,21,30
Justin Schultz,D,76,5,25,30
Ryan Donato,LW,79,14,16,30
Sonny Milano,LW/RW,67,12,18,29
Brett Pesce,D,79,6,23,29
Teddy Blueger,C,76,11,19,29
Alex Wennberg,C,80,11,18,29
Jake Neighbours,LW,70,11,17,29
Travis Sanheim,D,81,7,22,29
Shane Pinto,C,62,9,19,29
Alex Texier,LW/RW,70,12,16,29
Brady Skjei,D,81,8,21,28
Ryan Suter,D,82,5,23,28
Sean Durzi,D,75,5,24,28
Vladislav Gavrikov,D,81,5,23,28
Pierre Engvall,LW/RW,76,13,15,28
Oskar Lindblom,LW,76,14,14,28
Jake Muzzin,D,73,6,22,27
Philipp Kurashev,LW/RW,77,11,17,27
Joonas Donskoi,RW,79,10,17,27
Corey Perry,RW,79,12,16,27
Vladislav Namestnikov,C/LW,79,14,13,27
Filip Zadina,LW/RW,74,10,16,27
Ryan Graves,D,80,6,20,27
Jesper Fast,RW,80,10,16,27
Marcus Johansson,LW/RW,75,10,17,27
Brandon Tanev,LW/RW,68,12,14,27
Barclay Goodrow,C/LW,81,10,17,26
Adam Lowry,C,78,12,14,26
Mario Ferraro,D,78,4,22,26
Hampus Lindholm,D,74,5,21,26
Marco Rossi,C,72,10,16,26
Colin Blackwell,C/RW,71,12,13,26
Max Pacioretty,LW,30,12,13,26
Eric Robinson,LW,77,11,15,26
Carson Soucy,D,76,8,17,26
Alex Carrier,D,75,4,22,26
Kirill Marchenko,RW,70,13,13,25
Rasmus Asplund,LW/RW,71,10,15,25
Daniel Sprong,LW/RW,69,16,10,25
Mason Appleton,RW,77,11,14,25
Miles Wood,LW,68,14,11,25
Justin Holl,D,79,3,22,25
Noah Gregor,LW/RW,69,11,14,25
Rudolfs Balcers,LW/RW,69,11,14,25
K'Andre Miller,D,81,8,17,25
Danton Heinen,LW/RW,78,11,13,25
Cody Ceci,D,79,5,19,25
David Kampf,C,82,9,16,25
Gabriel Vilardi,LW/RW,64,12,13,25
Matt Grzelcyk,D,66,5,19,25
Artem Zub,D,79,6,18,25
Garnet Hathaway,RW,81,12,13,24
Nick Leddy,D,80,3,21,24
Colton Sissons,C,80,10,14,24
Kevin Shattenkirk,D,82,5,19,24
Ryan McDonagh,D,77,5,19,24
