Player,Pos,Team,Games,Goals,Assists,Points
Filip Chytil,LW/RW,TBL,79,21,18,39
Brady Skjei,C/LW,ANA,76,21,18,39
Jonas Brodin,C,TBL,80,19,20,39
Barclay Goodrow,RW,NJD,78,18,21,39
Kent Johnson,LW,MIN,74,12,27,39
Ryan Graves,RW,NYI,72,13,26,39
Dawson Mercer,RD,CBJ,64,9,29,38
Jakob Chychrun,RD,STL,73,7,31,38
Gustav Forsling,RD,ANA,81,5,33,38
Christian Dvorak,RD,WPG,81,4,34,38
Alex Iafallo,LW,CGY,80,19,19,38
Danton Heinen,LW/RW,TOR,74,18,20,38
Colin Blackwell,RW,CGY,74,19,19,38
Ryan Pulock,LW,NSH,71,20,18,38
Lars Eller,C,ARI,68,18,20,38
Shane Wright,LW/RW,SJS,72,12,26,38
Rudolfs Balcers,C,CAR,79,18,19,37
Erik Brannstrom,LW,LAK,81,16,21,37
Ryan Donato,LW,ARI,69,22,15,37
Jesper Fast,LW,MON,79,20,17,37
Bowen Byram,C/LW,WAS,76,18,19,37
Owen Tippett,C,MIN,74,13,24,37
Corey Perry,LW,PIT,75,16,21,37
Brett Pesce,C/RW,MON,71,11,26,37
Brandon Hagel,LD,WAS,78,12,24,36
Torey Krug,LD,CAR,80,8,28,36
Vasily Podkolzin,RW,NYR,66,17,19,36
Taylor Raddysh,LW,CHI,59,22,14,36
Vladislav Gavrikov,RW,NYI,78,19,17,36
Scott Laughton,RW,OTT,70,13,23,36
Denis Malgin,LW,TOR,72,13,23,36
Mark Giordano,C,NJD,72,19,17,36
Kieffer Bellows,C,PHI,79,14,22,36
Luke Kunin,LW,PHI,62,15,21,36
Nate Schmidt,C,NYR,69,11,25,36
Tyson Barrie,RD,MIN,72,9,26,35
Shayne Gostisbehere,LD,NSH,77,8,27,35
Alex Newhook,RD,NYR,76,9,26,35
Alexis Lafreniere,RD,NYI,73,7,28,35
Kevin Hayes,LD,MIN,78,6,29,35
Jordan Eberle,LD,BUF,77,5,30,35
Max Comtois,LW,VAN,75,17,18,35
Warren Foegele,LW/RW,LAK,80,18,17,35
Jason Zucker,LW/RW,VAN,78,17,18,35
Ty Smith,C,DET,81,15,20,35
Nils Lundkvist,C,ARI,74,16,19,35
Travis Boyd,C/RW,NYR,81,11,24,35
Michael Rasmussen,C/LW,CHI,72,14,21,35
Rasmus Sandin,LW,NJD,76,16,19,35
Nicolas Hague,C,SJS,76,13,22,35
Esa Lindell,C,PIT,74,10,25,35
Justin Faulk,RD,SEA,68,4,30,34
Nicholas Paul,LD,OTT,72,3,31,34
Nick Leddy,C,COL,74,17,17,34
Jake Bean,RW,FLA,67,15,19,34
Vinnie Hinostroza,RW,DAL,77,15,19,34
Nicholas Robertson,RW,MON,62,15,19,34
Jack Rathbone,RW,MON,63,12,22,34
Eric Robinson,LW/RW,SEA,74,14,20,34
Filip Zadina,C/LW,CHI,74,12,22,34
Jake Evans,LW,SJS,72,13,21,34
Janis Moser,C,SEA,79,11,23,34
William Karlsson,RD,FLA,74,10,23,33
Sean Couturier,LD,COL,60,10,23,33
Filip Hronek,LD,PHI,81,8,25,33
Jared Spurgeon,RD,NSH,76,4,29,33
Alex Formenton,LW,OTT,76,18,15,33
Vladislav Namestnikov,RW,BUF,64,18,15,33
Nick Bonino,RW,CHI,74,16,17,33
Andrei Kuzmenko,RW,CAR,78,10,23,33
Oliver Ekman-Larsson,C,WAS,73,13,20,33
Ben Chiarot,RW,BUF,66,14,19,33
Cody Ceci,C,NJD,68,13,20,33
T.J. Oshie,LD,TOR,76,8,24,32
Jeff Petry,LD,NJD,79,6,26,32
Mike Matheson,LD,CBJ,81,5,27,32
Barrett Hayton,LD,STL,76,4,28,32
Andreas Johnsson,RW,PHI,75,18,14,32
Dante Fabbro,C,PHI,69,16,16,32
TJ Brodie,RW,TBL,75,14,18,32
Adam Lowry,LW,ANA,67,14,18,32
Jakob Silfverberg,C,TOR,73,13,19,32
Blake Coleman,LD,MIN,79,3,28,31
Eeli Tolvanen,LD,PIT,68,5,26,31
Kaapo Kakko,LD,STL,64,3,28,31
Ryan Suter,LW,SEA,60,15,16,31
Mason Appleton,LW,EDM,80,14,17,31
Marcus Johansson,LW,PIT,59,16,15,31
Timothy Liljegren,LW,VAN,71,15,16,31
Jake Muzzin,C,SEA,77,11,20,31
Justin Danforth,LW,NYI,65,11,20,31
Michael Amadio,RD,DAL,74,7,24,31
Peyton Krebs,LD,VGK,68,8,22,30
Kevin Labanc,LD,CBJ,72,8,22,30
Evan Rodrigues,LD,TOR,68,7,23,30
Neal Pionk,LD,WPG,76,6,24,30
Andreas Athanasiou,RD,LAK,77,5,25,30
Thomas Bordeleau,RD,ANA,80,4,26,30
Oskar Lindblom,RW,TBL,77,14,16,30
Ryan McLeod,LW,SJS,74,15,15,30
Shane Pinto,LW,EDM,74,10,20,30
Henri Jokiharju,C,DET,78,15,15,30
Milan Lucic,RW,SEA,72,12,18,30
Erik Cernak,C/RW,ARI,72,11,19,30
Dillon Dube,RD,CAR,75,7,22,29
Frederick Gaudreau,LD,VAN,66,7,22,29
Kyle Palmieri,LD,VAN,76,6,23,29
Morgan Frost,LD,DAL,82,6,23,29
Pius Suter,RD,NSH,69,4,25,29
Philipp Kurashev,LD,DAL,80,4,25,29
Patric Hornqvist,C,ANA,76,15,14,29
John Marino,LW,CAR,36,14,15,29
Colton Sissons,LW,NYI,76,14,15,29
Ryan Poehling,LW,TOR,47,15,14,29
Alec Martinez,LW/RW,NJD,67,13,16,29
Garnet Hathaway,RW,WPG,72,11,18,29
Sebastian Aho (d),LW/RW,VAN,72,13,16,29
Nick Blankenburg,C,SJS,78,15,14,29
Mathieu Joseph,LD,DET,74,7,21,28
Jacob Trouba,RD,MON,75,6,22,28
Teddy Blueger,LD,PHI,70,7,21,28
Tanner Pearson,LD,TOR,80,3,25,28
Josh Anderson,RD,EDM,75,5,23,28
Alexandre Carrier,LD,BOS,60,4,24,28
Oliver Kylington,C,WPG,76,15,13,28
Brett Howden,RD,NYR,70,5,23,28
Aleksi Heponiemi,RW,FLA,66,16,12,28
Yakov Trenin,C,MON,71,13,15,28
Alexander Romanov,LW,CBJ,70,11,17,28
Nico Sturm,LW,SJS,77,15,13,28
Noah Gregor,RW,DET,66,15,13,28
Tomas Nosek,LW,BUF,71,8,20,28
Justin Holl,RW,WAS,67,8,20,28
Nick Ritchie,LD,CGY,74,9,18,27
Kirby Dach,LD,NYR,81,7,20,27
Joel Farabee,RD,TOR,66,4,23,27
Arthur Kaliyev,LD,TOR,67,8,19,27
Matt Dumba,LD,ARI,64,8,19,27
Brendan Gallagher,LD,NYI,72,4,23,27
Alex Wennberg,LD,BOS,65,5,22,27
Kyle Okposo,RD,NJD,76,6,21,27
Brandon Tanev,RD,MON,68,4,23,27
Vitali Kravtsov,RW,ANA,69,13,14,27
Nicklas Backstrom,C/RW,OTT,65,14,13,27
Christian Fischer,LW,CAR,49,11,16,27
Josh Mahura,C/LW,PIT,65,11,16,27
Morgan Geekie,LW,CHI,54,11,16,27
Mario Ferraro,RW,CBJ,64,11,16,27
Klim Kostin,C/LW,MON,67,11,16,27
Nic Dowd,C,EDM,73,10,17,27
Andrew Peeke,RW,CBJ,72,12,15,27
Jordan Spence,C,MON,60,9,18,27
Jakob Pelletier,LW,DET,78,9,18,27
Brandon Duhaime,C,NSH,76,6,21,27
Mattias Ekholm,LD,SEA,70,9,17,26
Brandon Montour,LD,VGK,64,7,19,26
Jesper Boqvist,RD,OTT,77,7,19,26
Nils Hoglander,RD,BUF,73,4,22,26
Kevin Shattenkirk,RD,PHI,74,5,21,26
Rasmus Asplund,LD,BOS,69,1,25,26
Adam Ruzicka,C,ANA,70,14,12,26
Christopher Tanev,RW,COL,80,10,16,26
Nicolas Aube-Kubel,RW,WAS,79,13,13,26
Zach Whitecloud,LW,PIT,69,11,15,26
Matt Roy,LW,FLA,77,10,16,26
Robby Fabbri,C,TOR,82,9,17,26
Ryan McDonagh,C,FLA,56,8,18,26
Scott Mayfield,C,VGK,66,10,16,26
Ryan Merkley,C,CBJ,77,10,16,26
Anthony Cirelli,C/LW,MIN,78,9,17,26
Jack Quinn,RD,CBJ,70,9,16,25
Alex Goligoski,RD,TBL,69,5,20,25
Joonas Donskoi,RD,VAN,81,4,21,25
Max Pacioretty,LD,NYI,78,4,21,25
Isac Lundestrom,LD,NYI,79,4,21,25
Michael McLeod,LW,NSH,75,14,11,25
Pat Maroon,C,LAK,71,9,16,25
Nikita Zadorov,RW,WAS,35,11,14,25
