POS RANK,PLAYER,POS,TEAM,GP,G,A,Points
C,Logan Brown,C,STL,53,3,11,14
D,Luke Schenn,D,VAN,66,3,11,14
C,Michael Amadio,C,VGK,75,7,7,13
D,Derek Forbort,D,BOS,71,2,11,13
W,Jakob Pelletier,W,CGY,41,5,8,13
W,Andrew Cogliano,W,COL,80,5,8,13
D,Lucas Carlsson,D,FLA,60,4,9,13
D,Michael Del Zotto,D,FLA,40,3,10,13
D,Jon Merrill,D,MIN,76,2,11,13
W,Rem Pitlick,W,MTL,30,5,8,13
D,Jordan Harris,D,MTL,65,5,8,13
W,Alexander Holtz,W,NJD,40,4,9,13
D,Jonas Siegenthaler,D,NJD,70,1,12,13
C,Dylan Gambrell,C,OTT,73,6,7,13
D,Chad Ruhwedel,D,PIT,68,3,10,13
W,Josh Leivo,W,STL,50,7,6,13
W,Martin Frk,W,STL,50,5,8,13
C,Alex Barre-Boulet,C,TB,50,8,5,13
D,Jack Rathbone,D,VAN,44,6,7,13
C,Jake Leschyshyn,C,VGK,70,4,9,13
C,Nic Dowd,C,WAS,38,6,7,13
W,Dominic Toninato,W,WPG,66,6,7,13
D,Dylan DeMelo,D,WPG,78,2,11,13
D,Logan Stanley,D,WPG,60,1,12,13
D,Urho Vaakanainen,D,ANA,60,4,8,12
W,Liam O'Brien,W,ARI,60,4,8,12
D,Ilya Lyubushkin,D,BUF,75,1,11,12
D,Riley Stillman,D,CHI,65,2,10,12
C,Liam Foudy,C,CBJ,65,4,8,12
D,Andrew Peeke,D,CBJ,64,2,10,12
C,Tanner Kero,C,DAL,55,4,8,12
W,Frederik Olofsson,W,DAL,55,4,8,12
D,Jani Hakanpaa,D,DAL,69,5,7,12
D,Jordan Oesterle,D,DET,70,2,10,12
D,Ryan Murray,D,EDM,49,1,11,12
C,Eric Staal,C,FLA,40,5,7,12
C,Alex Turcotte,C,LAK,40,4,8,12
D,Mikey Anderson,D,LAK,64,2,10,12
C,Sean Monahan,C,MTL,50,5,7,12
W,Kieffer Bellows,W,NYI,40,6,6,12
D,Alexander Romanov,D,NYI,78,2,10,12
W,Julien Gauthier,W,NYR,60,3,9,12
W,Ryan Carpenter,W,NYR,76,5,7,12
C,Zack MacEwen,C,PHI,70,6,6,12
C,Ryan Poehling,C,PIT,58,7,5,12
D,Radim Simek,D,SJ,65,3,9,12
D,Matthew Benning,D,SJ,73,3,9,12
D,Travis Dermott,D,VAN,74,3,9,12
W,Max Jones,W,ANA,62,6,5,11
C,Chase De Leo,C,ANA,40,4,7,11
D,Dmitry Kulikov,D,ANA,60,2,9,11
D,Patrik Nemeth,D,ARI,76,2,9,11
W,Ryan Dzingel,W,CAR,26,4,7,11
D,Dylan Coghlan,D,CAR,58,3,8,11
D,Jack Johnson,D,CHI,71,2,9,11
D,Kurtis MacDermid,D,COL,56,4,7,11
W,Emil Bemstrom,W,CBJ,45,5,6,11
