3sheets Sports Entertainment Skaters
,,Schedule,,Rankings,Trends,,Contracts,,,Fantasy Points,,,
Pos,Players, First Game, 10/7- 10/12,Proj,Rost,Start,salary,Years,Rookie,2024,3yr Avg,Proj,
C,Tim Stutzle C | OTT ,"@TB 10/09  7:00pm ET","Home: 0 
Away: 2 (@TB,@FLA)",53,100%,100%,8,2,,183.0,188.5,178.4
W,Matthew Coronato W | CGY ,"@EDM 10/08 10:00pm ET","Home: 1 (STL)
Away: 2 (@EDM,@VAN)",232,0%,0%,2,2,,119.5,46.5,111.6
F,Aleksander Barkov C | FLA ,"CHI 10/07  5:00pm ET","Home: 3 (CHI,PHI,OTT)
Away: 0 ",26,100%,0%,10,2,,168.2,181.8,204.6
F,Connor McMichael C | WAS ,"BOS 10/08  7:30pm ET","Home: 1 (BOS)
Away: 2 (@NYI,@NYR)",164,100%,100%,3,0,,144.8,75.0,130.0
F,Mason McTavish C | ANA ,"@SEA 10/09 10:00pm ET","Home: 0 
Away: 2 (@SEA,@SJ)",115,0%,0%,2,1,,128.0,106.8,150.2
F,Cole Perfetti C | WPG ,"DAL 10/09  8:00pm ET","Home: 2 (DAL,LA)
Away: 0 ",210,0%,0%,3,1,,122.5,96.0,118.9
D,Brent Burns D | COL ,"@LA 10/07 10:30pm ET","Home: 2 (UTA,DAL)
Away: 1 (@LA)",376,100%,100%,3,2,,100.8,158.8,80.8
D,Rasmus Dahlin D | BUF ,"NYR 10/09  7:00pm ET","Home: 1 (NYR)
Away: 1 (@BOS)",91,100%,100%,10,0,,240.8,233.8,158.8
D,K'Andre Miller D | CAR ,"NJ 10/09  7:00pm ET","Home: 2 (NJ,PHI)
Away: 0 ",419,0%,0%,4,1,,95.0,116.5,70.4
D,Zach Werenski D | CLB ,"@NSH 10/09  8:00pm ET","Home: 0 
Away: 2 (@NSH,@MIN)",42,100%,0%,5,1,,297.0,171.5,186.5
Reserves
C,Brad Marchand C | FLA ,"CHI 10/07  5:00pm ET","Home: 3 (CHI,PHI,OTT)
Away: 0 ",47,100%,0%,8,1,,123.2,149.8,181.2
F,Jack Hughes C | NJ ,"@CAR 10/09  7:00pm ET","Home: 0 
Away: 2 (@CAR,@TB)",19,0%,0%,20,1,,172.0,194.8,220.8
F,Connor Zary C | CGY ,"@EDM 10/08 10:00pm ET","Home: 1 (STL)
Away: 2 (@EDM,@VAN)",274,0%,0%,2,2,,65.2,76.8,99.9
Injured
C,2025 Draft Pick Hawtsawce C |  ,,"Home: 0 
Away: 0 ",,0%,0%,0,0,,0.0,0.0,0.0
