player,team,age,pos,GP,W,L,OTL,GA,SA,SV,SV%,GAA,SO,QS,RBS,VOR,Rank,Pts,,Fantasy Team,GP Org,,
Matt Tomkins,TBL,31,G,3,2,1,0,9,91,82,0.902,2.97,0,1,0,-691,74,12,71,,3,,
Jonathan Quick,NYR,40,G,20,11,7,2,64,610,546,0.895,3.19,2,9,4,-665,71,81,72,,20,,
Ville Husso,2TM,30,G,15,7,6,2,46,441,395,0.896,3.06,1,7,4,-682,73,56,73,,15,,
Jonas Johansson,TBL,30,G,18,9,6,3,57,545,488,0.896,3.16,1,8,4,-671,72,71,74,,18,,
Arvid Soderblom,CHI,26,G,30,9,18,4,103,969,866,0.894,3.43,0,14,6,-722,75,109,75,,30,,
Martin Jones,TOR,36,G,10,6,4,1,30,288,257,0.895,3.03,1,5,2,-728,76,40,76,,10,,
Ivan Prosvetov,COL,26,G,8,4,3,1,25,249,224,0.898,3.18,0,4,2,-776,78,33,77,,8,,
James Reimer,2TM,37,G,15,6,7,2,50,484,434,0.896,3.34,1,8,3,-792,79,60,78,,15,,
Ivan Fedotov,PHI,29,G,12,4,6,2,36,321,286,0.889,2.98,0,5,4,-814,80,37,79,,12,,
Devin Cooley,SJS,28,G,3,1,1,0,9,91,82,0.897,3.13,0,2,1,-838,81,12,80,,3,,
Dennis Hildeby,TOR,24,G,5,3,2,0,15,137,122,0.894,2.91,0,2,1,-772,77,18,81,,5,,
Aleksei Kolosov,PHI,24,G,25,11,13,2,84,734,650,0.885,3.37,1,11,7,-864,82,86,82,,25,,
Georgi Romanov,SJS,26,G,5,2,3,0,16,151,135,0.893,3.22,0,3,1,-921,85,18,83,,5,,
Magnus Chrona,SJS,25,G,4,2,2,0,13,123,110,0.892,3.30,0,2,1,-979,87,15,84,,4,,
Marcus Hogberg,NYI,31,G,7,3,3,1,22,202,180,0.891,3.15,0,4,2,-900,83,24,85,,7,,
Arturs Silovs,VAN,24,G,7,3,3,1,22,192,170,0.888,3.08,0,3,2,-920,84,23,86,,7,,
Cayden Primeau,MTL,26,G,13,5,5,2,45,420,374,0.892,3.50,1,6,3,-947,86,50,87,,13,,
Spencer Martin,CAR,30,G,21,9,11,2,75,632,557,0.882,3.55,1,8,7,-1033,88,71,88,,21,,
