All Goalies   Projections Standard Categories
Avail,Player,GGP,W,L,SO,GAA,GA,S,SPct,FPTS,
W ( 9/22),Michael Hutchinson G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Michael Houser G | BUF,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Devan Dubnyk G | COL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Alexis Cournoyer G | MON,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Kirill Ustimenko G | PHI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Benjamin Gaudreau G | MON,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Zachary Andrews G | CHI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Mitchell Weeks G | CHI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Alex Bishop G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jake Kielly G | VAN,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Nathaniel Day G | EDM,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Erik Portillo G | LA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ilya Samsonov G | LV,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Clay Stevenson G | WAS,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Nick Chenard G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Keith Kinkaid G | NJ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ben Bishop G | BUF,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Vadim Zherenko G | STL ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Evan Gardner G | CLB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Erik Kallgren G | NJ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Pat Nagle G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Samuel Meloche G | BUF,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Devin Cooley G | CGY,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Spencer Martin G | CAR ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Matt Tomkins G | TB ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Filip Lindberg G | PIT ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Nikita Quapp G | CAR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Olle Eriksson Ek G | ANA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Isaac Poulter G | NJ ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Veini Vehvilainen G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Zachary Sawchenko G | CLB ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Connor Ingram G | UTA ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Artyom Zagidulin G | CGY,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Keith Petruzzelli G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Kasimir Kaskisuo G | NSH,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Arno Tiefensee G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jack LaFontaine G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Thomas Hodges G | ANA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Arseni Radkov G | MON,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Adam Gajan G | CHI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jakub Milota G | NSH,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Chris Driedger G | WPG,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Malcolm Subban G | CLB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Hugo Alnefelt G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Mads Sogaard G | OTT,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Evan Fitzpatrick G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Magnus Chrona G | NSH,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Mitchell Gibson G | WAS ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Petteri Rimpinen G | LA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Mans Goos G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Garret Sparks G | LA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Callum Booth G | BOS,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Yaniv Perets G | CAR ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Andrei Trofimov G | OTT,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Francois Brassard G | OTT,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Dennis Hildeby G | TOR ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Laurent Brossoit G | CHI ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Collin Delia G | EDM ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Gilles Senn G | NJ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Carter Hart G | PHI ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Filip Larsson G | PIT,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Philippe Desrosiers G | WPG,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jack Campbell G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ville Husso G | ANA ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Dylan Garand G | NYR ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Artur Akhtyamov G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jiri Patera G | VAN,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Adam Huska G | NYR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ilya Konovalov G | EDM,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Kyle Konin G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Tristan Lennox G | NYI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ilya Kanarsky G | CHI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Pyotr Andreyanov G | CLB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ken Appleby G | NYI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Burke Hood G | NYI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Calle Clang G | ANA ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Gabriel D'Aigle G | PIT,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),J-F Berube G | LA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Kyle Keyser G | COL ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Tyler Wall G | PHI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Isaiah Saville G | LV,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Zachary Emond G | NJ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Michael DiPietro G | BOS ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Antti Raanta G | CAR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Matt Murray G | SEA ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Pheonix Copley G | LA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Samuel Richard G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Andrew Hammond G | FLA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Mathis Rousseau G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Adam Werner G | CGY,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Alexandar Georgiev G | BUF ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Marc-Andre Fleury G | MIN ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Kaden Fulcher G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Sebastian Cossa G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Evan Cormier G | FLA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Garin Bjorklund G | WAS,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Landon Bow G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Mikhail Berdin G | WPG,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Kevin Boyle G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),James Reimer G | BUF,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Thomas Milic G | WPG,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Georgi Romanov G | NJ ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Samuel Hlavaj G | MIN,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Mack Guzda G | FLA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Love Harenstam G | STL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jesper Vikman G | LV,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Dylan Ferguson G | MIN,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Cayden Primeau G | CAR ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Olof Lindbom G | NYR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Joshua Ravensbergen G | SJ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Matt Villalta G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Oscar Dansk G | ANA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Alexei Melnichuk G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Trenten Bennett G | NJ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ruslan Khazheyev G | CAR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Braden Holtby G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ales Stezka G | SEA ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Elijah Neuenschwander G | ANA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Peyton Jones G | COL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Robin Lehner G | LV,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Colten Ellis G | STL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Drew Commesso G | CHI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Harri Sateri G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Rylan Toth G | VAN,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Joe O'Brien G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Marcus Hogberg G | NYI,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),David Tendeck G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Maxime Lagace G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Andrew Oke G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ryan Fanti G | EDM ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Yegor Midlak G | FLA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ivan Tkach-Tkachenko G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Troy Grosenick G | NSH,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Felix Sandstrom G | BUF,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Michael McNiven G | OTT,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Matthew Murray G | NSH,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Dustin Nickel G | CGY,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Mike Smith G | EDM,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Trey Augustine G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Aleksei Medvedev G | VAN,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Yevgeni Prokhorov G | BUF,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Martin Jones G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Hunter Jones G | MON,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Tyler Palmer G | EDM,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Gabriel Carriere G | SJ ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Antoine Bibeau G | OTT ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Brandon Halverson G | TB,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Mikko Koskinen G | EDM,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Christopher Gibson G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Carey Price G | SJ ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Hunter Miska G | COL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jaxson Stauber G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Lucas Beckman G | OTT,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Louis Domingue G | NYR ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Dylan Wells G | UTA ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Remi Poirier G | DAL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Zach Fucale G | WAS,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Olivier Rodrigue G | EDM ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Gage Alexander G | DET,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jett Alexander G | TOR,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Brandon Bussi G | BOS ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Nicolas Daws G | NJ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Victor Ostman G | SEA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Trent Miner G | COL ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Scott Ratzlaff G | BUF,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Carter George G | LA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ivan Fedotov G | CLB ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Niklas Kokko G | SEA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Anson Thornton G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Aaron Dell G | LA ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jon Gillies G | UTA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Tomas Suchanek G | ANA ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Nikita Tolopilo G | VAN ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),David Rittich G | NYI ,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Jacob Ingham G | LA,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Ty Young G | VAN,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Reid Cooper G | WAS,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Arvid Holm G | COL,0,0,0,0,0.00,0,0,.000,0.00
W ( 9/22),Alex D'Orio G | PIT,0,0,0,0,0.00,0,0,.000,0.00
Report Updated as of  9/21/25 12:06 AM EST
