All Players   Projections Standard Categories
Avail,Player,GP,G,A,PTS,+/-,PIM,PPG,SHG,SOG,FPTS,
The Dook of Sook,Alex DeBrincat W | DET,78.7,32.41,33.79,66.2,-0.73,28.56,10.85,0,219.39,164.63
W ( 9/22),Oliver Bjorkstrand W | TB ,78.7,27.26,40.22,67.48,9.61,17.52,14.33,0,171.4,164.62
W ( 9/22),Bo Horvat C | NYI ,78.7,31.62,33.05,64.67,5.75,25.78,9.47,0.98,241.8,164.36
3sheets Sports Entertainment,Andrei Svechnikov W | CAR,78.7,27.58,40.06,67.64,0.04,78.85,13.06,0,259.72,162.87
W ( 9/22),Mika Zibanejad C | NYR,78.7,22.77,44.36,67.13,-8.63,23.04,15.94,3.29,195.42,161.45
LIP's Lasers,Drake Batherson W | OTT,78.7,27.62,38.96,66.58,-1.56,35.58,13.88,0,191.49,160.39
The Dook of Sook,Matvei Michkov W | PHI,78.7,28.02,37.31,65.33,6.16,48.43,15.44,0,204.26,160.22
W ( 9/22),Boone Jenner C | CLB,78.7,32.68,28.34,61.02,11.88,31.37,11.99,1.1,194.37,159.89
South Calgary Oilers,Roope Hintz C | DAL ,78.7,29.32,35.11,64.43,-3.62,32.75,11.27,1.26,170.07,159.80
LIP's Lasers,Rasmus Dahlin D | BUF,78.7,20.2,49.04,69.24,-1.38,59.94,17.14,0.25,219.57,158.83
W ( 9/22),Mikael Granlund C | ANA ,78.7,20.49,47.64,68.13,3.76,31.82,12.85,0.47,132.85,158.63
W ( 9/22),Mats Zuccarello W | MIN ,78.7,18.98,50.52,69.5,1.80,24.22,15.36,0,177.41,158.43
CinStars,Elias Pettersson C | VAN ,78.7,24.95,42.17,67.12,-11.51,13.79,13.86,0.46,162.38,157.23
The Inglorious Basteeerds,Evgeni Malkin C | PIT,78.7,24.43,40.82,65.25,2.64,63.69,11.52,0,164.02,155.59
South Calgary Oilers,Adam Fox D | NYR,78.7,13.89,55.92,69.81,-3.10,36.21,16.27,1.21,145.21,155.16
The Pylons,Brock Boeser W | VAN ,78.7,34.19,27.89,62.08,-12.85,17.68,12.67,0,172.63,155.14
W ( 9/22),Tyler Seguin C | DAL ,78.7,29.36,32.68,62.04,-2.97,30.14,6.27,0.97,184.58,154.64
W ( 9/22),Matt Duchene C | DAL,78.7,24.87,40.21,65.08,-3.62,20.57,12.04,0,151.25,154.12
W ( 9/22),Tom Wilson W | WAS,78.7,30.4,29.42,59.82,-0.94,122.4,11.2,1.61,167.03,153.02
Shazam!!!,John-Jason Peterka W | UTA ,78.7,28.58,32.8,61.38,6.28,31.25,10.27,0,204.06,152.91
W ( 9/22),Artturi Lehkonen W | COL,78.7,33.45,26.23,59.68,-2.74,34.88,8.1,0.29,211.12,152.71
3sheets Sports Entertainment,Roman Josi D | NSH ,78.7,17.94,49.8,67.74,-5.16,36.59,14.31,0.25,247.8,152.63
W ( 9/22),Frank Vatrano W | ANA,78.7,32.53,25.31,57.84,3.76,64,10.5,1.35,219.84,151.85
W ( 9/22),William Karlsson C | LV,78.7,26.79,33.3,60.09,3.82,15.22,8.48,1.84,201.33,151.61
W ( 9/22),Troy Terry W | ANA,78.7,24.21,38.93,63.14,3.76,18.72,10.13,0,166.48,151.43
South Calgary Oilers,Sam Bennett C | FLA ,78.7,31.77,28.18,59.95,-4.77,94.19,7.3,0,264.18,150.48
HawtSawwce,Mason McTavish C | ANA ,78.7,26.85,33.75,60.6,3.76,55.87,10.14,0.62,155.99,150.23
The Inglorious Basteeerds,Steven Stamkos C | NSH,78.7,31.88,28.4,60.28,-13.50,37.31,13.3,0,224.68,149.06
W ( 9/22),Nick Schmaltz C | UTA,78.7,22.23,40.71,62.94,-0.42,10.73,12.2,0.25,170.82,148.50
W ( 9/22),Rickard Rakell W | PIT,78.7,28.17,30.77,58.94,5.07,20.71,8.32,0,186.89,147.32
re-degeneration X 2.0,Timo Meier W | NJ,78.7,30.34,28.82,59.16,-5.86,56.12,8.16,0,247.75,147.19
W ( 9/22),Gustav Nyquist W | WPG ,78.7,20.27,40.97,61.24,7.91,11.97,8.72,1.13,120.96,146.99
The Inglorious Basteeerds,Josh Morrissey D | WPG ,78.7,13.4,53.76,67.16,-4.32,35.23,13.16,0,186.77,146.64
W ( 9/22),Jonathan Marchessault W | NSH,78.7,30.09,28.83,58.92,-8.56,43.12,9.98,0,242.81,145.79
W ( 9/22),Joel Eriksson Ek C | MIN ,78.7,27.27,30.55,57.82,5.13,43.52,10.25,0.27,249.76,144.73
New Oilers Nation,Shea Theodore D | LV,78.7,9.53,58.49,68.02,-3.42,20.93,15.57,0,184.53,144.72
LIP's Lasers,Kent Johnson C | CLB,78.7,24,33.55,57.55,9.50,18.91,9.99,1.16,128.47,143.79
G' Stars,Ryan Nugent-Hopkins W | EDM ,78.7,20.6,40.54,61.14,-5.34,25.76,14.25,0.95,203.58,143.45
New Oilers Nation,Lane Hutson D | MON,78.7,5.81,61.59,67.4,7.42,31.06,16.68,0,81.18,142.47
New Oilers Nation,Noah Dobson D | MON ,78.7,11.68,51.89,63.57,8.51,49.52,15.63,0.55,169.28,142.05
re-degeneration X 2.0,William Eklund W | SJ ,78.7,19.69,40,59.69,1.65,28.85,10.1,1.14,117.71,141.76
South Calgary Oilers,Adam Fantilli C | CLB,78.7,29.73,24.67,54.4,6.74,21.82,4.07,0.66,179.35,141.53
The Dook of Sook,Quinton Byfield W | LA,78.7,23.67,35.04,58.71,-6.14,42.26,6.89,0.21,174.34,139.98
LIP's Lasers,Logan Cooley C | UTA,78.7,24.32,32.55,56.87,2.45,28.78,9.67,0.25,156.2,139.17
CinStars,Josh Norris C | BUF ,78.7,30.44,22.45,52.89,-3.12,45.05,10.05,1.61,154.17,138.66
W ( 9/22),Trevor Moore W | LA,78.7,28.31,26.16,54.47,-4.30,21.24,3.3,0.78,223.31,137.73
W ( 9/22),Claude Giroux W | OTT ,78.7,18.69,39.68,58.37,-1.07,19.19,10.17,0.96,160.04,137.08
W ( 9/22),Anthony Cirelli C | TB,78.7,24.93,29.05,53.98,-0.99,35.25,3.3,2.21,144.43,137.06
W ( 9/22),Gabriel Landeskog W | COL,78.7,21.17,34.95,56.12,6.64,22.75,4.38,0.29,168.59,135.65
W ( 9/22),Anthony Mantha W | PIT ,78.7,28.13,23.89,52.02,8.93,30.46,5.62,0.48,112.81,135.36
G' Stars,Alexei Protas C | WAS,78.7,21.07,33.91,54.98,4.43,13.35,0.36,1.37,123.72,134.88
W ( 9/22),Jonathan Huberdeau W | CGY,78.7,20.35,36.63,56.98,-6.93,45.22,12.41,0.98,151.87,134.54
South Calgary Oilers,Tyler Toffoli W | SJ,78.7,30.45,21.16,51.61,1.65,14.21,8.87,0,208.35,134.08
W ( 9/22),Kyle Palmieri W | NYI,78.7,27.76,24.79,52.55,2.21,26.84,10.98,0.25,187.39,133.91
W ( 9/22),Ryan O'Reilly C | NSH,78.7,22.13,34.16,56.29,-4.14,19.82,11.03,0,167.64,133.68
The Inglorious Basteeerds,Vince Dunn D | SEA,78.7,15.56,42.94,58.5,1.55,71.43,12.61,0.33,163.75,133.61
LIP's Lasers,Juraj Slafkovsky W | MON,78.7,21.41,33.18,54.59,8.51,48.22,8.1,0,125.48,132.72
W ( 9/22),Taylor Hall W | CAR,78.7,22.63,30.47,53.1,13.89,29.62,7.31,0,177.76,132.30
G' Stars,Owen Tippett W | PHI,78.7,26.38,25.69,52.07,6.16,12.81,7.37,0,252.44,132.06
W ( 9/22),Chris Kreider W | ANA ,78.7,30.05,19.86,49.91,-15.92,26.77,9.88,2.5,201.57,130.89
W ( 9/22),Ryan Donato C | CHI,78.7,25.13,27.58,52.71,0.18,33.8,5.43,0,130.31,130.59
