share_top_1,share_top_3,share_top_5,share_top_10,hhi,gini,team_id,bucket,total_seconds,num_units,pair_dd_share,pair_ff_share,trio_fwd_share,full_name,tri_code
0.02321718097971985,0.0607628683344985,0.09568491317470944,0.17852451710328107,0.007119637631620678,-0.6620596039909105,21,pairs_EV,3235578.0,517,0.06851727882931581,0.21043597156365879,,Colorado Avalanche,COL
0.02056310900143601,0.055681420390103195,0.08903949106421907,0.163532803425266,0.00762536648952224,-0.6498375457130569,22,pairs_EV,3213765.0,406,0.06882394947981572,0.21194486840201446,,Edmonton Oilers,EDM
0.022091430045466414,0.05457963351467144,0.08012855461421466,0.13626433949085345,0.005940604303634494,-0.6186191728637912,23,pairs_EV,3209842.0,457,0.07051530885320835,0.21202570095350487,,Vancouver Canucks,VAN
0.011957887352885856,0.03460357578649967,0.055648855115117676,0.10253461696273009,0.004843581974091473,-0.6132911038558017,24,pairs_EV,2987986.0,521,0.06985273692714758,0.21372389294996696,,Anaheim Ducks,ANA
0.016801471694013356,0.04731567456018287,0.07499924807091826,0.13810727480644733,0.006742961655602849,-0.5983264009397995,25,pairs_EV,3258286.0,351,0.06935057266305045,0.212453111850832,,Dallas Stars,DAL
0.02048557189411778,0.05593298829575403,0.0889640996030137,0.15656670139109172,0.007256571495109437,-0.6296686732352502,26,pairs_EV,3262833.0,387,0.0692720099373765,0.2143612621301795,,Los Angeles Kings,LAK
0.013016484843782785,0.03685488435570869,0.05859639904289515,0.10358455866146384,0.004447936156291136,-0.604653160962873,28,pairs_EV,2835635.0,575,0.07757803807612756,0.20798903949203618,,San Jose Sharks,SJS
0.012887803953803711,0.03334133956735077,0.05285358448028218,0.09601356530359735,0.004171151955663459,-0.5928167283973382,29,pairs_EV,3135057.0,581,0.0679684611794937,0.20955344671564186,,Columbus Blue Jackets,CBJ
0.014960284728942463,0.04197608640588163,0.06464074403621461,0.11844405764721928,0.005465599006103633,-0.6402209255656468,30,pairs_EV,3079420.0,522,0.0689256418416455,0.21574809542056622,,Minnesota Wild,MIN
0.021171549967007933,0.05605714062493849,0.08777767313718976,0.15789103926979578,0.007253130080305691,-0.6192823270565645,52,pairs_EV,3302309.0,367,0.06944110923599214,0.21098540445488292,,Winnipeg Jets,WPG
0.0190341080630387,0.04708053531762804,0.07107784254200075,0.12496579429815038,0.005720398032257801,-0.6486724541992789,53,pairs_EV,3113516.0,493,0.07106499533003845,0.21522677256195247,,Arizona Coyotes,ARI
0.012831863505186898,0.037368584144048214,0.05846091619523619,0.10646071486829761,0.004646365483183315,-0.62263886233522,54,pairs_EV,3298118.0,569,0.06964911504075962,0.21213795261418786,,Vegas Golden Knights,VGK
0.018686495608210882,0.048864707890242255,0.07608071001441803,0.13388156296506962,0.006295407692626078,-0.6037819770801408,55,pairs_EV,3231371.0,387,0.06777247180840579,0.209624645390455,,Seattle Kraken,SEA
